"RefDes";"Name";"Pattern";"Center X (mm)";"Center Y (mm)";"Side";"Rotation";"Value"
"U1";"SOT23";"SOT23";"24.414";"107.166";"Top";"0.0";"3904"
"R1";"RES_0603";"RES_0603";"22.614";"100.782";"Top";"90.0";"10k"
"Trig1";"THONKICONNNEW (THONKICONN)";"WQP-PJ301M-12_JACK";"17.259";"104.098";"Top";"90.0";""
"U2";"SOT23";"SOT23";"24.414";"94.313";"Top";"0.0";"3904"
"R2";"RES_0603";"RES_0603";"22.614";"87.929";"Top";"90.0";"10k"
"Trig2";"THONKICONNNEW (THONKICONN)";"WQP-PJ301M-12_JACK";"17.259";"91.245";"Top";"90.0";""
"U3";"SOT23";"SOT23";"24.414";"81.881";"Top";"0.0";"3904"
"R3";"RES_0603";"RES_0603";"22.614";"75.497";"Top";"90.0";"10k"
"Trig3";"THONKICONNNEW (THONKICONN)";"WQP-PJ301M-12_JACK";"17.259";"78.813";"Top";"90.0";""
"U4";"SOT23";"SOT23";"24.414";"69.089";"Top";"0.0";"3904"
"R4";"RES_0603";"RES_0603";"22.614";"62.705";"Top";"90.0";"10k"
"Trig4";"THONKICONNNEW (THONKICONN)";"WQP-PJ301M-12_JACK";"17.259";"66.021";"Top";"90.0";""
"U5";"SOT23";"SOT23";"24.414";"56.503";"Top";"0.0";"3904"
"R5";"RES_0603";"RES_0603";"22.614";"50.118";"Top";"90.0";"10k"
"Trig5";"THONKICONNNEW (THONKICONN)";"WQP-PJ301M-12_JACK";"17.259";"53.435";"Top";"90.0";""
"U6";"SOT23";"SOT23";"24.414";"43.865";"Top";"0.0";"3904"
"R6";"RES_0603";"RES_0603";"22.614";"37.48";"Top";"90.0";"10k"
"Trig6";"THONKICONNNEW (THONKICONN)";"WQP-PJ301M-12_JACK";"17.259";"40.797";"Top";"90.0";""
"U7";"SOT23";"SOT23";"24.414";"31.227";"Top";"0.0";"3904"
"R7";"RES_0603";"RES_0603";"22.614";"24.843";"Top";"90.0";"10k"
"Trig7";"THONKICONNNEW (THONKICONN)";"WQP-PJ301M-12_JACK";"17.259";"28.159";"Top";"90.0";""
"U8";"SOT23";"SOT23";"24.414";"18.692";"Top";"0.0";"3904"
"R8";"RES_0603";"RES_0603";"22.614";"12.308";"Top";"90.0";"10k"
"Trig8";"THONKICONNNEW (THONKICONN)";"WQP-PJ301M-12_JACK";"17.259";"15.624";"Top";"90.0";""
"";"ROHS";"ROHS";"17.527";"22.309";"Bottom";"270.0";""
